Method,Threads,Avg_Time_Serial,Avg_Time_Parallel,Avg_Time_MonteCarlo
atomic,1,0.29451285,0.2937653,1.258707
atomic,4,0.29222845,0.07342401,0.3132173
atomic,16,0.2921758,0.019231785,0.07841772999999999
atomic,128,0.2928549,0.007277009499999999,0.0109342415
critical,1,0.29358395000000004,0.29380105,1.2605135
critical,4,0.29215315,0.073387135,0.31284744999999997
critical,16,0.29217935,0.01919693,0.078295645
critical,128,0.29286365000000003,0.007235448,0.0109762635
